Sentence #,Word,POS,Tag
Sentence 0,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,is,VBZ,O
,a,DT,O
,threat,NN,O
,group,NN,O
,that,WDT,O
,has,VBZ,O
,been,VBN,O
,attributed,VBN,O
,to,TO,O
,the,DT,O
,North,JJ,B-ID
,Korean,JJ,I-ID
,government,NN,I-ID
,.,.,O
Sentence 1,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,is,VBZ,O
,also,RB,O
,known,VBN,O
,as,IN,O
,HIDDEN,NNP,B-TA
,COBRA,NNP,I-TA
,",",",",O
,Guardians,NNP,B-TA
,of,IN,I-TA
,Peace,NNP,I-TA
,",",",",O
,ZINC,NNP,B-TA
,and,CC,I-TA
,NICKEL,NNP,I-TA
,ACADEMY,NNP,I-TA
,.,.,O
Sentence 2,In,IN,O
,late,JJ,O
,2017,CD,O
,",",",",O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,used,VBD,O
,KillDisk,NNP,B-T
,",",",",O
,a,DT,O
,disk,NN,O
,-,-,O
,wiping,NN,O
,tool,NN,O
,",",",",O
,in,IN,O
,an,DT,O
,attack,NN,O
,against,IN,O
,an,DT,O
,online,NN,B-ID
,casino,NN,I-ID
,based,VBN,O
,in,IN,O
,Central,NNP,B-L
,America,NNP,I-L
,.,.,O
Sentence 3,Some,DT,O
,organizations,NNS,O
,use,VBP,O
,the,DT,O
,name,NN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,to,TO,O
,refer,VB,O
,to,TO,O
,any,DT,O
,activity,NN,O
,attributed,VBN,O
,to,TO,O
,North,NNP,B-L
,Korea,NNP,I-L
,.,.,O
Sentence 4,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,has,VBZ,O
,rebooted,VBN,B-AP
,victim,JJ,I-AP
,machines,NNS,O
,to,TO,O
,establish,VB,O
,persistence,NN,O
,by,IN,O
,installing,VBG,O
,a,DT,O
,SSP,NNP,B-INF
,DLL,NNP,B-INF
,.,.,O
Sentence 5,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NNP,O
,WhiskeyDelta,NNP,B-M
,-,-,O
,Two,CD,I-M
,contains,VBZ,O
,a,DT,O
,function,NN,B-M
,that,WDT,O
,attempts,VBZ,O
,to,TO,O
,rename,VB,B-AP
,the,DT,I-AP
,administrator,NN,I-AP
,,,O
,s,NN,O
,account,NN,O
,.,.,O
Sentence 6,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NN,B-M
,has,VBZ,O
,conducted,VBN,O
,C2,NNP,B-AP
,over,IN,I-AP
,HTTP,NNP,I-AP
,and,CC,O
,HTTPS,NNP,I-AP
,.,.,O
Sentence 7,A,DT,O
,Destover,NNP,B-M
,-,-,O
,like,IN,O
,implant,NN,B-M
,used,VBN,O
,by,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,can,MD,O
,obtain,VB,B-AP
,the,DT,I-AP
,current,JJ,I-AP
,system,NN,I-AP
,time,NN,I-AP
,and,CC,O
,send,VB,I-AP
,it,PRP,O
,to,TO,O
,the,DT,O
,C2,NNP,I-AP
,server,NN,I-AP
,.,.,O
Sentence 8,social,JJ,B-AP
,engineering,NN,I-AP
,attacks,NNS,I-AP
,of,IN,O
,the,DT,O
,Lazarus,NNP,B-TA
,organization,NN,I-TA
,against,IN,O
,the,DT,O
,cryptocurrency,NN,B-ID
,-,-,O
,related,JJ,I-ID
,industries,NNS,I-ID
,.,.,O
Sentence 9,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,malware,NNP,B-M
,KiloAlfa,NNP,I-M
,contains,VBZ,O
,keylogging,VBG,B-AP
,functionality,NN,I-AP
,.,.,O
Sentence 10,A,DT,O
,Destover,NNP,B-M
,-,-,O
,like,IN,O
,implant,NN,B-M
,used,VBN,O
,by,IN,O
,Lazarus,NNP,B-TA
,Group,NNP,I-TA
,is,VBZ,O
,used,VBN,O
,for,IN,O
,System,NNP,B-AP
,Time,NNP,I-AP
